NeonLines,5037.751,5080.383,5116.503,5188.612,5203.896,5222.351,5330.778,5341.585,5400.562,5562.766,5656.659,5689.816,5719.225,5748.299,5764.419,5804.45,5820.156,5852.488,5881.895,5944.834,5975.534,6029.997,6074.338,6096.163,6128.45,6143.063,6163.594,6217.281,6266.495,6304.789,6334.428,6382.992,6402.248,6506.528,6532.882,6598.953,6678.276,6717.043,6929.467,7024.05,7032.413,7173.938,7245.167
5037.751,0,-1.180287929,2.180287929,-9.870518189,10.87051819,10.00270929,-27.11455538,28.11455538,6.151737118,-5.591630899,-18.66598305,-22.1722942,-23.43929284,-44.07866005,45.07866005,-48.81567554,49.81567554,-27.7055463,28.7055463,-29.54667752,30.54667752,-22.37761891,-47.49539519,48.49539519,-74.63895162,75.63895162,54.83624763,-23.96736701,-32.08711548,-42.74901312,43.74901312,-69.86087453,70.86087453,-55.73260226,56.73260226,23.62915651,-42.31756391,43.31756391,-20.00059207,-237.5103432,238.5103432,-29.99041121,30.99041121
5080.383,1,0,1,-7.081196022,8.081196022,7.692657816,-23.16970482,24.16970482,5.428879055,-5.137582141,-17.38022137,-20.72266993,-21.97296554,-41.43399504,42.43399504,-46.10129887,47.10129887,-26.25582344,27.25582344,-28.15801303,29.15801303,-21.41616111,-45.54203895,46.54203895,-71.72154931,72.72154931,52.7597779,-23.10110944,-30.97383402,-41.31063801,42.31063801,-67.64691525,68.64691525,-54.11493511,55.11493511,22.98391125,-41.21786571,42.21786571,-19.54985568,-232.412651,233.412651,-29.39189094,30.39189094
5116.503,1.847250891,1,0,-4.71794033,5.71794033,5.735464644,-19.82742667,20.82742667,4.816436916,-4.752888927,-16.29085864,-19.49447448,-20.73061842,-39.19330025,40.19330025,-43.80154081,44.80154081,-25.02754446,26.02754446,-26.9814658,27.9814658,-20.60156514,-43.88705613,44.88705613,-69.2497776,70.2497776,51.00048707,-22.36717194,-30.03060532,-40.09197341,41.09197341,-65.77113627,66.77113627,-52.74436518,53.74436518,22.43722662,-40.28614543,41.28614543,-19.16796887,-228.0936267,229.0936267,-28.88479411,29.88479411
5188.612,3.538679865,2.9963732,-1.9963732,0,1,1.828176646,-13.15499213,14.15499213,3.593773844,-3.984897703,-14.11608408,-17.042538,-18.25042994,-34.72003722,35.72003722,-39.21036547,40.21036547,-22.57544122,23.57544122,-24.63263844,25.63263844,-18.97532757,-40.58309278,41.58309278,-64.3151988,65.3151988,47.48828601,-20.90195879,-28.14756881,-37.65906407,38.65906407,-62.02638139,63.02638139,-50.0081961,51.0081961,21.34584008,-38.42608404,39.42608404,-18.40558028,-219.4712424,220.4712424,-27.8724396,28.8724396
5203.896,3.897189904,3.419518272,-2.419518272,1,0,1,-11.74072361,12.74072361,3.334621971,-3.822116665,-13.65512561,-16.52283315,-17.72473688,-33.77189826,34.77189826,-38.23723418,39.23723418,-22.05570102,23.05570102,-24.13478827,25.13478827,-18.6306353,-39.88279496,40.88279496,-63.26928078,64.26928078,46.74385076,-20.59139676,-27.74844623,-37.14339215,38.14339215,-61.23265476,62.23265476,-49.42824619,50.42824619,21.11451318,-38.0318312,39.0318312,-18.24398676,-217.6436685,218.6436685,-27.65786407,28.65786407
5222.351,4.330080691,3.930454042,-2.930454042,2.207471866,-1.207471866,0,-10.03303414,11.03303414,3.021703376,-3.625563141,-13.09853123,-15.89530416,-17.0899773,-32.62704715,33.62704715,-37.06220553,38.06220553,-21.42812936,22.42812936,-23.53364821,24.53364821,-18.21442908,-39.03720504,40.03720504,-62.0063642,63.0063642,45.84496615,-20.21640184,-27.26651695,-36.52073282,37.52073282,-60.27425218,61.27425218,-48.72797298,49.72797298,20.83519244,-37.55578198,38.55578198,-18.04886713,-215.4369245,216.4369245,-27.39877016,28.39877016
5330.778,6.873404954,6.93230897,-5.93230897,9.301622612,-8.301622612,-5.87520997,0,1,1.183240924,-2.470769919,-9.828422354,-12.20843959,-13.36063149,-25.90080645,26.90080645,-30.15866548,31.15866548,-17.74101404,18.74101404,-20.0018241,21.0018241,-15.76913015,-34.06918671,35.06918671,-54.58646411,55.58646411,40.56383031,-18.01322794,-24.43508121,-32.86247849,33.86247849,-54.64343581,55.64343581,-44.61372088,45.61372088,19.1941245,-34.75889287,35.75889287,-16.90249833,-202.4718402,203.4718402,-25.87653905,26.87653905
5341.585,7.126899981,7.231506091,-6.231506091,10.00870191,-9.00870191,-6.460796532,1,0,1,-2.355670817,-9.502488162,-11.84096705,-12.98892481,-25.23039702,26.23039702,-29.47058449,30.47058449,-17.37351651,18.37351651,-19.64980456,20.64980456,-15.52540538,-33.57402062,34.57402062,-53.84691713,54.84691713,40.03745556,-17.79363596,-24.1528699,-32.49785755,33.49785755,-54.08220814,55.08220814,-44.2036503,45.2036503,19.03055804,-34.48012485,35.48012485,-16.7882389,-201.1796006,202.1796006,-25.72481714,26.72481714
5400.562,8.510297429,8.8643134,-7.8643134,13.86744308,-12.86744308,-9.656515849,6.457296197,-5.457296197,0,-1.727540924,-7.723768737,-9.835560543,-10.96041136,-21.57177419,22.57177419,-25.71552273,26.71552273,-15.36797361,16.36797361,-17.72872964,18.72872964,-14.19532712,-30.87175258,31.87175258,-49.81099021,50.81099021,37.16487263,-16.59525745,-22.61275918,-30.50801309,31.50801309,-51.01942252,52.01942252,-41.9657737,42.9657737,18.13792738,-32.95880517,33.95880517,-16.16469133,-194.1274662,195.1274662,-24.89682573,25.89682573
